id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_above,sqft_basement,yr_built,yr_renovated,Main_Genre,Genre_2,Genre_3,imdb_rating,length,rank_in_year,rating,studio,title,worldwide_gross,year
5652600427,20150224T000000,420000,4,2,1700,6375,850,850,1950,0,Action,Adventure,Drama,7.4,135,1,PG-13,Walt Disney Pictures,Black Panther,700059566,2018
7888000390,20140627T000000,140000,3,1,1060,7473,1060,0,1959,0,Action,Adventure,Sci-Fi,8.5,156,2,PG-13,Walt Disney Pictures,Avengers: Infinity War,678815482,2018
5318101695,20150409T000000,940000,4,1.5,2430,3600,2430,0,1980,0,Animation,Action,Adventure,7.8,118,3,PG,Pixar,Incredibles 2,608581744,2018
4039000050,20140714T000000,516130,3,1.75,1510,8250,1510,0,1962,0,Action,Adventure,Drama,6.2,129,4,PG-13,Universal Pictures,Jurassic World: Fallen Kingdom,416769345,2018
7853230590,20141029T000000,435000,4,2.5,2190,6578,2190,0,2004,0,Action,Comedy,,7.8,119,5,R,20th Century Fox,Deadpool 2,318491426,2018
3856902996,20140804T000000,553500,2,1,850,2340,850,0,1922,0,Action,Adventure,Drama,7.9,147,6,PG-13,Paramount Pictures,Mission: Impossible - Fallout,220159104,2018
1473200170,20140729T000000,305000,3,2.5,1260,1622,1260,0,2009,0,Action,Comedy,,7.2,118,7,PG-13,Walt Disney Pictures,Ant-Man and the Wasp,216648740,2018
3356407665,20140924T000000,180000,3,1.75,1330,16000,1330,0,1978,0,Action,Adventure,Drama,7,135,8,PG-13,Walt Disney Pictures,Solo: A Star Wars Story,213767512,2018
1446400564,20140507T000000,185000,4,1,1490,6600,1490,0,1969,0,Action,Adventure,Drama,6.9,112,9,PG-13,Columbia Pictures,Venom,213030843,2018
8122600145,20140521T000000,452000,4,2,1660,6150,850,810,1945,0,Music,Drama,,8.1,135,10,R,Warner Bros,A Star is Born ,199721727,2018
2011000010,20140502T000000,257950,3,1.75,1370,5858,1370,0,1987,0,Action,Adventure,Drama,7.2,152,1,PG-13,Walt Disney Pictures,Star Wars: The Last Jedi,620181382,2017
7855000325,20150220T000000,1050000,4,3,3080,10757,3080,0,1961,0,Music,Drama,,7.2,129,2,PG,Walt Disney Pictures,Beauty and the Beast ,504014165,2017
3856900005,20140909T000000,535000,6,1.75,2460,6000,1230,1230,1913,0,Action,Adventure,Drama,7.5,141,3,PG-13,Warner Bros,Wonder Woman,412563408,2017
142000165,20140507T000000,749950,4,2.75,2600,6050,1960,640,1949,0,Action,Adventure,Comedy,7,112,4,PG-13,Sony Pictures,Jumanji: Welcome to the Jungle,404515480,2017
2619920010,20140703T000000,815000,4,2.5,3150,4203,3150,0,2002,0,Action,Adventure,Comedy,7.7,137,5,PG-13,Walt Disney Pictures,Guardians of the Galaxy Vol. 2,389813101,2017
5412310170,20140619T000000,177000,3,1.75,1150,8079,1150,0,1983,0,Action,Adventure,Drama,7.5,133,6,PG-13,Sony Pictures,Spider-Man: Homecoming,334201140,2017
3616600250,20140527T000000,1600000,3,3.25,3790,19000,3790,0,1985,0,Horror,Drama,Mystery,7.4,135,7,R,Warner Bros,It,327481748,2017
7575600610,20150209T000000,265000,3,2.5,1660,5250,1660,0,1988,0,Action,Adventure,Drama,7.9,130,8,PG-13,Walt Disney Pictures,Thor: Ragnarok,315058289,2017
6150200180,20140721T000000,290000,2,1,850,6800,850,0,1948,0,Animation,Comedy,,6.3,90,9,PG,Universal Pictures,Despicable Me 3,264624300,2017
7202330030,20140822T000000,500000,3,2.5,1650,5683,1650,0,2003,0,Action,Adventure,Drama,6.5,110,10,PG-13,Warner Bros,Justice League,229024295,2017
8079000190,20141028T000000,415000,4,2.5,2150,8173,2150,0,1987,0,Action,Adventure,Drama,7.8,133,1,PG-13,Walt Disney Pictures,Rogue One: A Star Wars Story,532177324,2016
9448300061,20140708T000000,235000,2,1,1020,7920,1020,0,1939,0,Animation,Family,,7.3,100,2,PG,Walt Disney Pictures,Finding Dory,486295561,2016
5569700075,20140528T000000,968000,6,2.75,3610,17580,2070,1540,1959,0,Action,Adventure,Sci-Fi,7.8,146,3,PG-13,Walt Disney Pictures,Captain America: Civil War,408084349,2016
1687910100,20140530T000000,655000,4,2.25,2060,8470,1440,620,1983,0,Animation,Comedy,,6.5,90,4,PG,Universal Pictures,The Secret Life of Pets,368384330,2016
1183000005,20150408T000000,450000,3,2,1680,4886,1180,500,1940,0,Action,Adventure,Family,7.4,111,5,PG,Walt Disney Pictures,The Jungle Book ,364001123,2016
1522039105,20150115T000000,729000,3,4.25,3300,308080,2520,780,1976,0,Action,Comedy,Adventure,8,103,6,R,20th Century Fox,Deadpool,363070709,2016
5100403806,20150407T000000,467000,3,2.5,1425,1179,1425,0,2008,0,Animation,Action,Adventure,8,108,7,PG,Walt Disney Pictures,Zootopia,341268248,2016
203101330,20140701T000000,485000,3,2.25,2440,47916,2090,350,1991,0,Action,Adventure,Sci-Fi,6.5,151,8,PG-13,Warner Bros,Batman v Superman: Dawn of Justice,330360194,2016
6161000015,20140515T000000,349950,3,1,1400,7066,1400,0,1957,0,Action,Adventure,,6.1,123,9,PG-13,Warner Bros,Suicide Squad,325100054,2016
1422300160,20140624T000000,379000,3,2.5,1740,30886,1740,0,1992,0,Animation,Music,Comedy,7.1,108,10,PG,Universal Pictures,Sing,270395425,2016
1222069133,20150224T000000,415000,4,2.5,2210,213008,1210,1000,1975,0,Action,Adventure,Fantasy,8,136,1,PG-13,Walt Disney Pictures,Star Wars: The Force Awakens,936662225,2015
4310702837,20141201T000000,375000,3,3.25,1370,1227,1370,0,2007,0,Action,Adventure,Mystery,7,123,2,PG-13,Universal Pictures,Jurassic World,652270625,2015
6705870040,20141015T000000,665000,4,2.5,3130,7582,3130,0,2004,0,Action,Adventure,Sci-Fi,7.4,141,3,PG-13,Walt Disney Pictures,Avengers: Age of Ultron,459005868,2015
7202310040,20150408T000000,635000,3,2.5,2620,6842,2620,0,2002,0,Animation,Family,,8.2,94,4,PG,Pixar,Inside Out,356461711,2015
5727000010,20141215T000000,319990,4,2.5,2120,5293,2120,0,2003,0,Action,Adventure,Mystery,7.2,140,5,PG-13,Universal Pictures,Furious 7,353007020,2015
8887001625,20150410T000000,417000,3,2.75,1820,52889,1820,0,1991,0,Animation,Comedy,Family,6.4,91,6,PG,Universal Pictures,Minions,336045770,2015
629000615,20141022T000000,1500000,4,3.25,3070,10375,2180,890,1962,2005,Action,Adventure,Fantasy,6.6,137,7,PG-13,Lionsgate Films,The Hunger Games: Mockingjay - Part 2,281723902,2015
7159200040,20140917T000000,2900000,4,3.25,4580,4838,3080,1500,1991,0,Sci-Fi,Fantasy,,8,164,8,PG-13,20th Century Fox,The Martian,228433663,2015
7525530590,20140720T000000,760000,4,2.5,2990,12788,2990,0,1988,0,Romance,Fantasy,,6.9,105,9,PG,Walt Disney Pictures,Cinderella,201151353,2015
1644500050,20150312T000000,875000,6,3.5,4430,11453,3000,1430,2001,0,Action,Adventure,,6.8,150,10,PG-13,Sony Pictures,Spectre,200074609,2015
7785000220,20141013T000000,725000,3,2,1550,12262,1550,0,1964,0,Sci-Fi,Adventure,Action,5.8,165,1,PG-13,Paramount Pictures,Transformers: Age of Extinction,1091404499,2014
8651442880,20140516T000000,205000,5,1.75,1730,5200,1050,680,1978,0,Fantasy,Adventure,,7.5,144,2,PG-13,Warner Bros,The Hobbit: The Battle of the Five Armies,955113783,2014
3034200142,20140923T000000,435000,3,1.5,1740,6988,1600,140,1950,0,Sci-Fi,Adventure,Action,8.1,121,3,PG-13,Walt Disney Pictures,Guardians of the Galaxy,774176600,2014
1386800054,20141201T000000,283450,5,2.75,2770,6116,1490,1280,1979,0,Fantasy,Adventure,Action,7.1,97,4,PG,Walt Disney Pictures,Maleficent,758654942,2014
8818900300,20141002T000000,618000,4,1,1260,4080,1260,0,1911,0,Sci-Fi,Adventure,,6.8,123,5,PG-13,Lionsgate Films,The Hunger Games: Mockingjay - Part 1,752100229,2014
1105000233,20140906T000000,255000,2,1,940,9330,940,0,1941,0,Sci-Fi,Adventure,Action,8.1,131,6,PG-13,20th Century Fox,X-Men: Days of Future Past,748121534,2014
